Week 1
0,1,2,3
4,5,6,7
8,9,10,11
12,13,14,16
18,19,20,21
23,24,26,27
Week 2
4,8,12,27
13,26,28,1
2,7,11,14
3,15,17,20
22,24,25,5
29,10,21,0
Week 3
5,14,27,0
2,4,10,15
6,8,13,17
12,18,22,23
16,19,24,28
25,26,29,9
Week 4
0,6,11,15
1,9,16,21
3,5,12,19
7,17,18,24
20,23,25,28
22,26,29,4
Week 5
1,6,14,18
2,8,16,20
13,25,3,27
10,17,19,22
11,15,21,23
28,29,7,9
Week 6
2,5,17,21
4,11,13,18
6,9,12,20
7,10,16,23
14,15,19,25
22,27,28,29
Week 7
0,7,20,26
1,8,21,25
2,9,18,27
3,4,14,24
5,11,16,29
10,12,17,28
Week 8
0,10,18,25
1,7,12,15
3,6,23,29
5,8,19,26
9,11,17,22
13,21,24,27
Week 9
0,13,19,23
1,20,24,29
2,6,10,26
3,7,8,22
4,16,17,25
5,14,15,28
Week 10
3,16,18,26
4,21,28,6
1,11,19,27
13,15,22,20
8,9,14,23
12,24,0,2
