Week 1
37,0,18,38
12,40,35,20
13,14,16,26
21,23,24,9
27,30,31,6
32,33,34,10
41,3,5,4
Week 2
7,37,24,12
8,9,11,13
14,17,34,3
18,19,22,23
25,26,28,2
29,30,32,36
31,39,1,15
Week 3
1,8,35,29
4,10,11,38
7,15,27,33
17,19,20,25
21,22,28,5
39,6,36,16
40,41,0,2
Week 4
2,12,16,38
6,11,15,41
4,7,17,21
19,26,29,34
20,28,30,33
31,35,36,0
37,39,40,3
Week 5
0,9,14,19
1,12,13,36
2,5,8,17
3,10,16,20
15,18,21,25
22,24,32,39
23,27,28,4
Week 6
5,9,18,35
6,7,13,22
8,10,14,23
11,24,27,29
25,30,34,38
26,31,32,40
33,37,41,1
Week 7
13,19,21,39
4,8,16,22
5,10,24,30
11,12,18,26
14,25,27,32
17,29,31,33
34,35,37,2
Week 8
0,7,10,25
1,11,14,20
3,8,12,21
6,23,29,37
9,15,22,30
13,28,31,41
27,36,38,40
Week 9
0,15,20,26
1,16,17,23
2,6,18,24
3,9,28,32
4,19,33,36
5,7,34,40
35,38,39,41
